type,id,name,uuid,city,area,avgRating,totalRatingsString,OrderDate,deliveryTime,age_group,minDeliveryTime,maxDeliveryTime,channel,address,locality,unserviceable,veg,name,Ingredients
F,37933,Faasos - Wraps & Rolls,6fe9caf1-02a7-4e66-83bb-1b4ff296b683,Ahmedabad,Vastrapur,4.2,500+ ratings,12-06-2019,44,0-18 years,44,44,Restaurant,SHOP NO 2 HOTEL SHAHI PALACE VASTRAPUR LAKE AHMEDABAD GUJARAT,HOTEL SHAHI PALACE,FALSE,FALSE,ALPHONSO MANGO SORBETTO,"MANGOS, WATER, SUGAR, DEXTROSE, LEMON JUICE, CAROB BEAN GUM"
F,81814,Burger King,10083576-d32d-4a0e-8a82-3236ef342a19,Ahmedabad,Ellisbridge,4.2,1000+ ratings,29-03-2019,33,19-24 years,33,33,Restaurant,SHOP # 5 GR FLR THIRD EYE 2PANCHAVATI CIRCLE OPP PARIMAL GARDENAHMADABAD-382424,3rd Eye II Ellis Bridge CG Road,FALSE,FALSE,BANANA CARAMEL CRUNCH,"MILK, BANANAS, SUGAR†, WHEAT FLOUR, CREAM, NONFAT MILK, EGG YOLKS, WATER, EGG WHITES, COCONUT OIL, CORN SYRUP†, LEMON JUICE, WHOLE EGGS, CAROB BEAN GUM, BAKING SODA, VANILLA EXTRACT, NATURAL FLAVOR, SALT"
F,107046,Mahalaxmi Pav Bhaji,fbfe3bfa-03fd-4708-b913-06e2c9ee9639,Ahmedabad,Ellisbridge,4.3,500+ ratings,21-07-2020,28,24-30 years,28,28,Restaurant,GF 9/10 Dev complexnear parimal charasta opp. Mercedes show room.parimal gardan Ahmedabad,C G Road,FALSE,TRUE,BELGIAN CHOCOLATE GELATO,"MILK, SUGAR, CREAM, EGG AND EGG YOLK, DEXTROSE, CHOCOLATE, COCOA (PROCESSED WITH ALKALI), COCOA BUTTER, CHOCOLATE, CAROB GUM, SOY LECITHIN, NATURAL FLAVOR"
F,328315,HIIT Meals,81ab4019-2445-4aef-aff2-04beccd641d9,Ahmedabad,Vishala,--,Too Few Ratings,17-07-2019,51,30-36 years,51,51,Restaurant,C11 Rajyash Rise Near Vishala Restaurant Vasna AhmedabadGujarat-380007,Vasna,FALSE,FALSE,BLACK RASPBERRY CHOCOLATE CHIP GELATO,"MILK, SUGAR, CREAM, BLACK RASPBERRIES, DEXTROSE, CHOCOLATE (PROCESSED WITH ALKALI), COCONUT OIL, CAROB GUM, SOYBEAN OIL, VANILLA EXTRACT, SOY LECITHIN NATURAL FLAVOR"
F,108879,Jay Jalaram Parotha House,994e73e1-7c7c-4ad9-87e7-ecfecd4e36fa,Ahmedabad,Ellisbridge,3.9,100+ ratings,01-11-2019,29,36-45 years,29,29,Restaurant,Capital Commercial Centre Near UCO Bank Ashram Road Ahmedabad,Ashram Road,FALSE,TRUE,BLACK RASPBERRY VANILLA PARFAIT,"MILK, SUGAR, CREAM, BLACK RASPBERRY PUREE, ROLLED OATS, COCONUT OIL, WHEAT FLOUR, WATER, TAPIOCA SYRUP, BROWN SUGAR, BLUEBERRIES, DEXTROSE, NATURAL FLAVOR, SUNFLOWER LECITHIN, CAROB BEAN GUM, GUAR GUM, VANILLA EXTRACT, PECTIN, RED CABBAGE JUICE CONCENTRATE (FOR COLOR), SALT"
F,270210,Cake Dengo Cake Shop,b8f428cb-6286-4e7f-873d-54a56da2d750,Ahmedabad,Drive In Road,4.1,100+ ratings,03-10-2019,50,45-55 years,50,50,Restaurant,Unit No 11-12 Gokul Complex Opp Gurukul Mandir Drive In Road Memnagar Thaltej(New West Zone) Ahmedabad Municipal Corporation Ahmedabad Gujarat - 380052,Gurukul rod,FALSE,FALSE,CARAMEL COOKIE CRUNCH GELATO,"MILK, SUGAR, CREAM, DEXTROSE, SKIM MILK, WHEAT FLOUR, CINNAMON, DRIED APPLES, CORN SYRUP, VANILLA EXTRACT, CAROB GUM, COCONUT OIL, BAKING SODA, EGGS, SALT"
F,47788,The Westend Hotel (Mayflower),98a15ac7-0b17-4170-b6ee-bd0a6596d677,Ahmedabad,Ellisbridge,4.4,100+ ratings,07-12-2019,27,55+ years,27,27,Restaurant,Hotel The Westend Gujarat College Road Ellis Bridge Ahmedabad,Ellisbridge,FALSE,FALSE,CARIBBEAN COCONUT GELATO,"MILK, SUGAR, CREAM, SKIM MILK, COCONUT, PALM AND SOYBEAN OILS, DEXTROSE, COCOA (PROCESSED WITH ALKALI), ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), CORN SYRUP, SUNFLOWER LECITHIN, CAROB BEAN GUM, VANILLA EXTRACT, GUAR GUM, BAKING SODA, DRIED CANE SYRUP, COCOA, SOY LECITHIN, NATURAL FLAVOR, CORN STARCH, SALT"
F,58425,Modi Sandwich And Pizza-Paldi,8a2f0036-5850-4a1a-83c6-767310eb6513,Ahmedabad,Paldi,3.9,1000+ ratings,07-08-2020,33,0-18 years,33,33,Restaurant,1 Abhishek Bhatta Paldi Ahmedabad,Paldi,FALSE,TRUE,CHOCOLATE CHERRY CHEESECAKE,"MILK, SUGAR, CREAM, COCONUT CONCENTRATE, COCONUT, DEXTROSE, CAROB GUM, VANILLA EXTRACT, SALT"
F,180360,Sugarless Life,68fd1997-e1e7-4be5-be82-450fa32d8ea9,Ahmedabad,Navrangpura,4.2,100+ ratings,14-11-2020,36,19-24 years,36,36,Restaurant,Dynamic house vijay cross road beside hdfc bank,Navrangpura,FALSE,FALSE,CHOCOLATE CHIP COOKIE DOUGH GELATO,"MILK, SUGAR, CREAM CHEESE (CREAM, MILK, CHEESE CULTURE, SALT, GUAR GUM, CAROB BEAN GUM, XANTHAN GUM), CREAM, CHOCOLATE, EGG YOLKS AND EGG WHITES, WHEAT FLOUR, WATER, DEXTROSE, CHERRY PUREE, CHERRY JUICE CONCENTRATE, COCONUT OIL, MILK FAT, COCOA BUTTER, WHEAT BRAN, LEMON JUICE CONCENTRATE, CHOCOLATE PROCESSED WITH ALKALI, NATURAL FLAVOR, HONEY, VANILLA EXTRACT, CAROB BEAN GUM, SOY LECITHIN, BAKING SODA, SALT, WHEAT GERM"
F,52712,Decent Restaurant,88b147ab-2ae1-457d-a591-977b6fa398d2,Ahmedabad,Paldi,--,Too Few Ratings,20-03-2020,36,24-30 years,36,36,Restaurant,1st Floor Badshah Chambers Opposite Town Hall Ellis Bridge Ahmedabad,Navrangpura,FALSE,FALSE,COCONUT ALMOND CHOCOLATE GELATO,"MILK, SUGAR, CREAM, WHEAT FLOUR, DEXTROSE, SKIM MILK, CHOCOLATE LIQUOR, VANILLA EXTRACT, EGGS, COCOA (PROCESSED WITH ALKALI), MOLASSES, SOYBEAN OIL, CAROB BEAN GUM, RICE FLOUR, NATURAL FLAVOR, SALT, COCOA BUTTER, LEMON PEEL, SOY LECITHIN"
