,User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
0,1000005,P00031342,M,26-35,20,A,1,1,8,,,6073
1,1000006,P00231342,F,51-55,9,A,1,0,5,8.0,14.0,5378
2,1000006,P00190242,F,51-55,9,A,1,0,4,5.0,,2079
3,1000008,P00220442,M,26-35,12,C,4+,1,5,14.0,,8584
4,1000010,P00297942,F,36-45,1,B,4+,1,8,,,5875
5,1000014,P00276642,M,36-45,0,C,0,0,8,11.0,,5848
6,1000018,P00157542,F,18-25,3,B,3,0,8,14.0,,8011
7,1000019,P00339542,M,0-17,10,A,3,0,1,,,19525
8,1000019,P00127842,M,0-17,10,A,3,0,1,2.0,15.0,11959
9,1000019,P00125942,M,0-17,10,A,3,0,1,2.0,15.0,19172
10,1000019,P00058142,M,0-17,10,A,3,0,3,4.0,12.0,8290
11,1000021,P00220242,M,18-25,16,B,0,0,3,12.0,,3055
12,1000022,P00195942,M,18-25,15,A,4+,0,3,4.0,,10681
13,1000022,P00115642,M,18-25,15,A,4+,0,8,14.0,,7801
14,1000023,P00000642,M,36-45,0,B,3,1,1,6.0,16.0,12015
15,1000023,P00032042,M,36-45,0,B,3,1,1,2.0,15.0,11887
16,1000026,P00042242,M,26-35,7,B,2,1,5,15.0,,5411
17,1000027,P00323742,M,26-35,11,C,1,1,8,,,9836
18,1000034,P00192942,F,18-25,0,A,0,0,5,,,6996
19,1000034,P00085942,F,18-25,0,A,0,0,2,4.0,8.0,15895
20,1000035,P00285442,M,46-50,1,C,4+,1,8,,,6139
21,1000035,P00121142,M,46-50,1,C,4+,1,8,,,5897
22,1000035,P00106742,M,46-50,1,C,4+,1,3,5.0,,10767
23,1000036,P00127442,M,26-35,3,B,0,0,1,2.0,15.0,8066
24,1000036,P00150542,M,26-35,3,B,0,0,5,,,7172
25,1000036,P00197542,M,26-35,3,B,0,0,5,,,7171
26,1000042,P00003242,M,26-35,8,C,0,1,8,15.0,,6027
27,1000044,P00115242,M,46-50,17,B,3,1,5,8.0,,1728
28,1000045,P00210142,F,46-50,16,A,1,1,14,,,4325
29,1000046,P00305542,M,18-25,19,C,4+,0,11,,,7478
30,1000048,P00055642,M,26-35,4,B,3,1,4,5.0,,1447
31,1000048,P00223242,M,26-35,4,B,3,1,5,14.0,,7048
32,1000049,P00051442,M,18-25,12,C,4+,1,8,17.0,,9879
33,1000049,P00000142,M,18-25,12,C,4+,1,3,4.0,5.0,13353
34,1000052,P00147942,M,18-25,4,C,0,0,1,16.0,,15244
35,1000053,P00024142,M,26-35,0,B,1,0,8,9.0,14.0,10021
36,1000053,P00127242,M,26-35,0,B,1,0,1,16.0,,15734
37,1000053,P00026342,M,26-35,0,B,1,0,8,,,7820
38,1000056,P0099342,M,36-45,20,C,0,1,5,8.0,,2012
39,1000058,P00271142,M,26-35,2,B,3,0,5,,,8842
40,1000058,P00348242,M,26-35,2,B,3,0,8,,,7959
41,1000058,P00288642,M,26-35,2,B,3,0,16,,,16579
42,1000059,P00083842,F,51-55,1,B,4+,1,5,14.0,,7159
43,1000059,P00317842,F,51-55,1,B,4+,1,8,,,8007
44,1000059,P00331242,F,51-55,1,B,4+,1,12,17.0,,1432
45,1000059,P00131942,F,51-55,1,B,4+,1,7,,,8784
46,1000060,P00150542,M,51-55,1,C,1,1,5,,,2048
47,1000067,P00178342,F,51-55,5,C,4+,1,8,,,7771
48,1000071,P00115942,M,26-35,14,A,0,1,8,17.0,,7908
49,1000071,P00021742,M,26-35,14,A,0,1,5,,,6996
50,1000072,P00318742,F,46-50,0,B,1,1,1,8.0,,15426
51,1000073,P00074442,M,18-25,4,A,4+,0,1,16.0,,11822
52,1000073,P00199042,M,18-25,4,A,4+,0,1,5.0,,15624
53,1000075,P00137642,F,0-17,10,C,4+,0,3,4.0,12.0,11000
54,1000080,P00157542,M,55+,1,C,3,1,8,14.0,,9788
55,1000090,P0097842,M,55+,13,C,1,0,5,,,6975
56,1000090,P00160942,M,55+,13,C,1,0,1,16.0,,15433
57,1000090,P00223242,M,55+,13,C,1,0,5,14.0,,5354
58,1000091,P00138542,M,36-45,7,C,3,1,5,6.0,,8771
59,1000092,P00014842,F,18-25,4,B,1,0,1,2.0,5.0,11449
60,1000093,P00019942,M,26-35,17,B,1,1,1,,,8289
61,1000099,P00129542,F,0-17,10,C,1,0,8,14.0,,7821
62,1000106,P00112142,F,36-45,11,C,4+,0,1,2.0,14.0,19703
63,1000107,P00183142,M,46-50,18,C,4+,0,15,,,17403
64,1000117,P00265742,M,26-35,17,A,2,1,5,12.0,,5417
65,1000118,P00191442,M,36-45,17,C,4+,0,1,2.0,15.0,15687
66,1000119,P0094942,F,0-17,10,C,1,0,4,8.0,,2122
67,1000136,P0099042,M,18-25,2,B,3,0,5,12.0,14.0,8850
68,1000136,P00367142,M,18-25,2,B,3,0,11,,,1498
69,1000136,P00222142,M,18-25,2,B,3,0,5,13.0,,7092
70,1000138,P00113242,M,18-25,20,C,1,1,1,6.0,8.0,19391
71,1000142,P00184942,M,26-35,7,A,2,0,1,8.0,17.0,12025
72,1000143,P00184942,M,18-25,3,C,0,0,1,8.0,17.0,19662
73,1000146,P00088242,F,36-45,20,B,3,1,6,10.0,13.0,12053
74,1000146,P00274042,F,36-45,20,B,3,1,1,,,19177
75,1000146,P00091842,F,36-45,20,B,3,1,8,,,7805
76,1000147,P00008542,M,18-25,4,B,4+,0,2,8.0,,9614
77,1000148,P00114542,M,51-55,17,B,3,1,5,,,1827
78,1000149,P00213742,M,26-35,1,B,2,1,8,,,6151
79,1000150,P00057742,M,36-45,7,B,0,1,2,8.0,18.0,16061
80,1000151,P00007342,F,26-35,20,A,1,1,8,14.0,,5844
81,1000151,P00197442,F,26-35,20,A,1,1,8,14.0,,1990
82,1000151,P00211042,F,26-35,20,A,1,1,5,,,5205
83,1000157,P00105942,M,36-45,16,A,1,0,5,,,5474
84,1000160,P00327842,M,36-45,7,C,3,0,8,16.0,,5881
85,1000161,P00313342,M,46-50,16,C,4+,1,5,,,8689
86,1000163,P00149542,M,18-25,4,A,1,0,1,6.0,13.0,4145
87,1000163,P00138242,M,18-25,4,A,1,0,1,,,3916
88,1000163,P00035242,M,18-25,4,A,1,0,8,14.0,,4012
89,1000163,P00035742,M,18-25,4,A,1,0,11,,,2952
90,1000166,P00046742,M,18-25,4,B,1,1,1,2.0,15.0,15470
91,1000166,P00238442,M,18-25,4,B,1,1,6,,,19966
92,1000166,P00318142,M,18-25,4,B,1,1,2,,,9752
93,1000166,P00184142,M,18-25,4,B,1,1,8,14.0,,8115
94,1000166,P0098542,M,18-25,4,B,1,1,8,,,6182
95,1000173,P00084642,M,26-35,0,B,1,1,13,16.0,,759
96,1000173,P00318942,M,26-35,0,B,1,1,8,16.0,,5909
97,1000173,P00050242,M,26-35,0,B,1,1,8,,,8053
98,1000174,P00113342,M,26-35,16,C,2,0,1,8.0,17.0,19396
99,1000175,P00102342,F,26-35,2,B,1,0,8,14.0,17.0,7918
100,1000175,P00057542,F,26-35,2,B,1,0,3,4.0,5.0,10604
101,1000178,P00367542,M,55+,17,A,2,1,5,,,5457
102,1000182,P00289942,M,18-25,4,C,0,0,3,4.0,5.0,11048
103,1000184,P00189842,F,26-35,0,C,4+,1,3,4.0,5.0,13601
104,1000186,P00111142,M,18-25,5,C,0,0,1,15.0,16.0,19452
105,1000191,P00158542,M,18-25,4,C,1,1,5,6.0,13.0,8861
106,1000192,P00208742,M,18-25,1,B,2,0,1,6.0,16.0,12001
107,1000193,P00107642,F,46-50,15,C,1,1,5,,,5362
108,1000194,P00322342,F,0-17,10,C,3,0,5,14.0,,7160
109,1000195,P00050342,M,26-35,12,B,4+,1,5,8.0,17.0,6916
110,1000195,P0099742,M,26-35,12,B,4+,1,3,4.0,5.0,8182
111,1000195,P00287542,M,26-35,12,B,4+,1,8,,,8120
112,1000198,P00046742,M,26-35,12,A,0,1,1,2.0,15.0,15165
113,1000198,P00196142,M,26-35,12,A,0,1,3,4.0,5.0,10680
114,1000198,P00071442,M,26-35,12,A,0,1,15,17.0,,16854
115,1000199,P00164342,M,18-25,4,B,1,0,5,8.0,,5388
116,1000199,P00041042,M,18-25,4,B,1,0,1,16.0,,15793
117,1000200,P00240142,F,18-25,4,C,0,0,5,,,5208
118,1000201,P00059442,F,36-45,2,A,1,0,6,8.0,16.0,16604
119,1000202,P00093642,M,18-25,4,A,3,0,6,,,12039
120,1000202,P00027642,M,18-25,4,A,3,0,8,,,5823
121,1000202,P00053542,M,18-25,4,A,3,0,1,,,7623
122,1000202,P00240142,M,18-25,4,A,3,0,5,,,3491
123,1000202,P00207242,M,18-25,4,A,3,0,5,,,5264
124,1000204,P00193242,M,26-35,7,B,1,1,6,8.0,,8230
125,1000204,P00326842,M,26-35,7,B,1,1,5,8.0,,5270
126,1000206,P00285842,M,26-35,17,C,1,0,5,,,1961
127,1000216,P00033342,M,46-50,13,B,1,0,5,14.0,,5161
128,1000216,P00206642,M,46-50,13,B,1,0,5,,,6889
129,1000216,P00088542,M,46-50,13,B,1,0,5,12.0,14.0,7169
130,1000218,P00366542,M,36-45,14,C,3,1,5,,,5406
131,1000223,P00242742,M,26-35,17,B,4+,0,1,2.0,9.0,11978
132,1000225,P00268442,M,26-35,7,A,0,0,8,17.0,,10051
133,1000225,P00101942,M,26-35,7,A,0,0,8,17.0,,9804
134,1000229,P00002642,M,18-25,10,C,1,0,8,,,7929
135,1000232,P00328142,M,26-35,20,A,1,1,8,16.0,,4253
136,1000235,P00002942,M,26-35,0,B,0,0,2,15.0,,12992
137,1000235,P00276142,M,26-35,0,B,0,0,12,,,1386
138,1000238,P00355942,F,51-55,7,B,0,0,8,13.0,,9933
139,1000238,P00026542,F,51-55,7,B,0,0,8,,,6041
140,1000238,P00242042,F,51-55,7,B,0,0,8,14.0,,7822
141,1000245,P00029242,M,36-45,16,B,0,0,8,,,6168
142,1000245,P00212242,M,36-45,16,B,0,0,8,,,7810
143,1000245,P00178042,M,36-45,16,B,0,0,8,14.0,,4147
144,1000245,P00100842,M,36-45,16,B,0,0,5,,,5145
145,1000245,P00190042,M,36-45,16,B,0,0,3,4.0,5.0,10791
146,1000245,P00136342,M,36-45,16,B,0,0,4,5.0,,1398
147,1000245,P00198742,M,36-45,16,B,0,0,1,2.0,11.0,8109
148,1000245,P00339942,M,36-45,16,B,0,0,1,,,11519
149,1000245,P00029542,M,36-45,16,B,0,0,1,2.0,18.0,3956
150,1000245,P00244342,M,36-45,16,B,0,0,11,,,4623
151,1000245,P00280642,M,36-45,16,B,0,0,11,,,4608
152,1000249,P00138542,F,18-25,14,C,2,0,5,6.0,,8671
153,1000251,P00128142,M,55+,17,A,0,1,1,5.0,18.0,11763
154,1000259,P00106742,M,26-35,1,B,4+,0,3,5.0,,10692
155,1000261,P00121142,M,26-35,20,A,4+,0,8,,,7769
156,1000261,P00024342,M,26-35,20,A,4+,0,8,14.0,,5822
157,1000262,P00035842,F,26-35,1,C,1,0,5,6.0,9.0,5379
158,1000268,P00004642,F,18-25,12,C,1,0,8,14.0,,8124
159,1000273,P00013742,M,18-25,4,B,2,1,5,,,7124
160,1000284,P00311942,M,26-35,12,B,3,1,2,4.0,,6652
161,1000285,P00319342,F,36-45,0,A,1,0,5,8.0,,8661
162,1000285,P00319042,F,36-45,0,A,1,0,5,,,7185
163,1000289,P00084442,F,26-35,0,C,1,0,13,16.0,,925
164,1000293,P00079942,M,55+,1,C,1,1,8,,,7889
165,1000293,P00115642,M,55+,1,C,1,1,8,14.0,,9824
166,1000299,P00025442,M,26-35,12,C,4+,0,1,2.0,9.0,15288
167,1000300,P00282642,M,26-35,7,B,4+,1,5,,,8663
168,1000300,P00089342,M,26-35,7,B,4+,1,8,,,9832
169,1000300,P00319042,M,26-35,7,B,4+,1,5,,,8611
170,1000300,P00212242,M,26-35,7,B,4+,1,8,,,9728
171,1000301,P00073642,M,18-25,4,B,4+,0,8,,,8092
172,1000302,P00251942,M,18-25,4,B,4+,0,1,2.0,5.0,11533
173,1000302,P00277542,M,18-25,4,B,4+,0,1,6.0,15.0,3838
174,1000302,P00323942,M,18-25,4,B,4+,0,8,15.0,,9741
175,1000303,P00117742,M,26-35,7,C,1,1,8,,,9702
176,1000305,P00117042,F,18-25,0,B,3,1,1,2.0,5.0,15392
177,1000307,P00268442,M,51-55,16,B,0,1,8,17.0,,9815
178,1000308,P00135742,M,26-35,2,A,3,1,6,8.0,,16617
179,1000308,P00339342,M,26-35,2,A,3,1,1,,,11528
180,1000314,P00111442,F,55+,9,C,1,0,8,,,9812
181,1000314,P00198042,F,55+,9,C,1,0,11,16.0,,7573
182,1000316,P00184942,M,55+,13,C,1,0,1,8.0,17.0,19322
183,1000319,P00309242,F,51-55,6,B,3,1,5,8.0,,8781
