date,temp
2015-01-01,42
2015-01-02,42
2015-01-03,41
2015-01-04,51
2015-01-05,54
2015-01-06,54
2015-01-07,46
2015-01-08,46
2015-01-09,50
2015-01-10,46
2015-01-11,49
2015-01-12,52
2015-01-13,49
2015-01-14,43
2015-01-15,46
2015-01-16,53
2015-01-17,56
2015-01-18,57
2015-01-19,50
2015-01-20,50
2015-01-21,45
2015-01-22,49
2015-01-23,54
2015-01-24,58
2015-01-25,63
2015-01-26,61
2015-01-27,52
2015-01-28,54
2015-01-29,54
2015-01-30,47
2015-01-31,45
2015-02-01,49
2015-02-02,52
2015-02-03,50
2015-02-04,51
2015-02-05,56
2015-02-06,58
2015-02-07,54
2015-02-08,59
2015-02-09,56
2015-02-10,55
2015-02-11,55
2015-02-12,62
2015-02-13,60
2015-02-14,58
2015-02-15,54
2015-02-16,59
2015-02-17,61
2015-02-18,54
2015-02-19,51
2015-02-20,52
2015-02-21,54
2015-02-22,53
2015-02-23,55
2015-02-24,52
2015-02-25,50
2015-02-26,53
2015-02-27,50
2015-02-28,54
2015-03-01,52
2015-03-02,52
2015-03-03,51
2015-03-04,55
2015-03-05,56
2015-03-06,59
2015-03-07,62
2015-03-08,63
2015-03-09,58
2015-03-10,56
2015-03-11,58
2015-03-12,64
2015-03-13,63
2015-03-14,57
2015-03-15,51
2015-03-16,57
2015-03-17,56
2015-03-18,60
2015-03-19,60
2015-03-20,57
2015-03-21,56
2015-03-22,53
2015-03-23,52
2015-03-24,55
2015-03-25,58
2015-03-26,69
2015-03-27,65
2015-03-28,60
2015-03-29,60
2015-03-30,64
2015-03-31,55
2015-04-01,55
2015-04-02,56
2015-04-03,52
2015-04-04,55
2015-04-05,62
2015-04-06,57
2015-04-07,58
2015-04-08,63
2015-04-09,63
2015-04-10,57
2015-04-11,53
2015-04-12,56
2015-04-13,53
2015-04-14,53
2015-04-15,57
2015-04-16,64
2015-04-17,66
2015-04-18,66
2015-04-19,70
2015-04-20,73
2015-04-21,63
2015-04-22,60
2015-04-23,54
2015-04-24,54
2015-04-25,56
2015-04-26,60
2015-04-27,77
2015-04-28,60
2015-04-29,61
2015-04-30,63
2015-05-01,65
2015-05-02,65
2015-05-03,69
2015-05-04,63
2015-05-05,58
2015-05-06,62
2015-05-07,69
2015-05-08,75
2015-05-09,80
2015-05-10,67
2015-05-11,57
2015-05-12,60
2015-05-13,54
2015-05-14,64
2015-05-15,68
2015-05-16,60
2015-05-17,67
2015-05-18,78
2015-05-19,71
2015-05-20,74
2015-05-21,78
2015-05-22,62
2015-05-23,61
2015-05-24,64
2015-05-25,60
2015-05-26,71
2015-05-27,76
2015-05-28,82
2015-05-29,79
2015-05-30,73
2015-05-31,77
2015-06-01,61
2015-06-02,64
2015-06-03,68
2015-06-04,73
2015-06-05,80
2015-06-06,85
2015-06-07,88
2015-06-08,87
2015-06-09,84
2015-06-10,78
2015-06-11,76
2015-06-12,68
2015-06-13,75
2015-06-14,82
2015-06-15,86
2015-06-16,73
2015-06-17,77
2015-06-18,76
2015-06-19,75
2015-06-20,77
2015-06-21,78
2015-06-22,77
2015-06-23,79
2015-06-24,78
2015-06-25,87
2015-06-26,89
2015-06-27,92
2015-06-28,83
2015-06-29,84
2015-06-30,87
2015-07-01,90
2015-07-02,93
2015-07-03,92
2015-07-04,92
2015-07-05,91
2015-07-06,85
2015-07-07,81
2015-07-08,86
2015-07-09,84
2015-07-10,70
2015-07-11,72
2015-07-12,79
2015-07-13,78
2015-07-14,82
2015-07-15,79
2015-07-16,79
2015-07-17,82
2015-07-18,92
2015-07-19,95
2015-07-20,80
2015-07-21,75
2015-07-22,75
2015-07-23,79
2015-07-24,73
2015-07-25,70
2015-07-26,72
2015-07-27,74
2015-07-28,82
2015-07-29,90
2015-07-30,94
2015-07-31,94
2015-08-01,92
2015-08-02,87
2015-08-03,83
2015-08-04,79
2015-08-05,74
2015-08-06,77
2015-08-07,83
2015-08-08,77
2015-08-09,83
2015-08-10,84
2015-08-11,86
2015-08-12,83
2015-08-13,83
2015-08-14,65
2015-08-15,71
2015-08-16,77
2015-08-17,81
2015-08-18,86
2015-08-19,89
2015-08-20,73
2015-08-21,72
2015-08-22,80
2015-08-23,82
2015-08-24,75
2015-08-25,78
2015-08-26,83
2015-08-27,85
2015-08-28,74
2015-08-29,72
2015-08-30,68
2015-08-31,66
2015-09-01,67
2015-09-02,67
2015-09-03,65
2015-09-04,65
2015-09-05,69
2015-09-06,61
2015-09-07,70
2015-09-08,73
2015-09-09,76
2015-09-10,77
2015-09-11,81
2015-09-12,80
2015-09-13,69
2015-09-14,62
2015-09-15,64
2015-09-16,68
2015-09-17,65
2015-09-18,67
2015-09-19,70
2015-09-20,73
2015-09-21,65
2015-09-22,66
2015-09-23,69
2015-09-24,72
2015-09-25,60
2015-09-26,65
2015-09-27,64
2015-09-28,70
2015-09-29,71
2015-09-30,65
2015-10-01,70
2015-10-02,60
2015-10-03,67
2015-10-04,73
2015-10-05,74
2015-10-06,65
2015-10-07,61
2015-10-08,66
2015-10-09,67
2015-10-10,70
2015-10-11,64
2015-10-12,65
2015-10-13,62
2015-10-14,59
2015-10-15,70
2015-10-16,68
2015-10-17,67
2015-10-18,59
2015-10-19,63
2015-10-20,64
2015-10-21,61
2015-10-22,61
2015-10-23,55
2015-10-24,59
2015-10-25,67
2015-10-26,54
2015-10-27,61
2015-10-28,57
2015-10-29,59
2015-10-30,63
2015-10-31,60
2015-11-01,54
2015-11-02,52
2015-11-03,51
2015-11-04,50
2015-11-05,53
