date,temp
2015-01-01,26
2015-01-02,32
2015-01-03,35
2015-01-04,38
2015-01-05,49
2015-01-06,43
2015-01-07,42
2015-01-08,35
2015-01-09,38
2015-01-10,43
2015-01-11,45
2015-01-12,40
2015-01-13,37
2015-01-14,33
2015-01-15,34
2015-01-16,42
2015-01-17,38
2015-01-18,45
2015-01-19,43
2015-01-20,38
2015-01-21,31
2015-01-22,43
2015-01-23,47
2015-01-24,52
2015-01-25,45
2015-01-26,43
2015-01-27,47
2015-01-28,41
2015-01-29,38
2015-01-30,34
2015-01-31,38
2015-02-01,40
2015-02-02,41
2015-02-03,42
2015-02-04,40
2015-02-05,47
2015-02-06,50
2015-02-07,49
2015-02-08,47
2015-02-09,47
2015-02-10,47
2015-02-11,42
2015-02-12,49
2015-02-13,44
2015-02-14,44
2015-02-15,39
2015-02-16,42
2015-02-17,40
2015-02-18,40
2015-02-19,47
2015-02-20,45
2015-02-21,42
2015-02-22,38
2015-02-23,33
2015-02-24,36
2015-02-25,44
2015-02-26,46
2015-02-27,44
2015-02-28,38
2015-03-01,34
2015-03-02,40
2015-03-03,32
2015-03-04,31
2015-03-05,37
2015-03-06,38
2015-03-07,39
2015-03-08,39
2015-03-09,40
2015-03-10,41
2015-03-11,48
2015-03-12,49
2015-03-13,46
2015-03-14,49
2015-03-15,43
2015-03-16,43
2015-03-17,40
2015-03-18,45
2015-03-19,47
2015-03-20,48
2015-03-21,47
2015-03-22,43
2015-03-23,42
2015-03-24,43
2015-03-25,45
2015-03-26,50
2015-03-27,48
2015-03-28,49
2015-03-29,48
2015-03-30,51
2015-03-31,43
2015-04-01,42
2015-04-02,42
2015-04-03,41
2015-04-04,39
2015-04-05,37
2015-04-06,44
2015-04-07,44
2015-04-08,43
2015-04-09,43
2015-04-10,46
2015-04-11,42
2015-04-12,42
2015-04-13,39
2015-04-14,37
2015-04-15,38
2015-04-16,39
2015-04-17,43
2015-04-18,47
2015-04-19,47
2015-04-20,46
2015-04-21,44
2015-04-22,41
2015-04-23,44
2015-04-24,43
2015-04-25,42
2015-04-26,40
2015-04-27,51
2015-04-28,48
2015-04-29,45
2015-04-30,46
2015-05-01,48
2015-05-02,46
2015-05-03,46
2015-05-04,45
2015-05-05,45
2015-05-06,45
2015-05-07,43
2015-05-08,47
2015-05-09,49
2015-05-10,52
2015-05-11,50
2015-05-12,51
2015-05-13,50
2015-05-14,49
2015-05-15,49
2015-05-16,52
2015-05-17,51
2015-05-18,54
2015-05-19,53
2015-05-20,51
2015-05-21,53
2015-05-22,53
2015-05-23,53
2015-05-24,52
2015-05-25,52
2015-05-26,53
2015-05-27,53
2015-05-28,54
2015-05-29,55
2015-05-30,50
2015-05-31,53
2015-06-01,53
2015-06-02,55
2015-06-03,53
2015-06-04,53
2015-06-05,55
2015-06-06,56
2015-06-07,60
2015-06-08,58
2015-06-09,58
2015-06-10,52
2015-06-11,52
2015-06-12,53
2015-06-13,49
2015-06-14,53
2015-06-15,61
2015-06-16,52
2015-06-17,52
2015-06-18,57
2015-06-19,56
2015-06-20,55
2015-06-21,57
2015-06-22,55
2015-06-23,53
2015-06-24,61
2015-06-25,60
2015-06-26,64
2015-06-27,63
2015-06-28,65
2015-06-29,63
2015-06-30,59
2015-07-01,63
2015-07-02,64
2015-07-03,64
2015-07-04,59
2015-07-05,62
2015-07-06,60
2015-07-07,57
2015-07-08,58
2015-07-09,58
2015-07-10,62
2015-07-11,62
