User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000006,P00190242,F,51-55,9,A,1,0,4,5.0,,2079
1000007,P00036842,M,36-45,1,B,1,1,1,14.0,16.0,11788
1000010,P00085942,F,36-45,1,B,4+,1,2,4.0,8.0,16352
1000010,P00259342,F,36-45,1,B,4+,1,5,9.0,,8718
1000010,P0094542,F,36-45,1,B,4+,1,2,4.0,9.0,16406
1000015,P00247542,M,26-35,7,A,1,0,8,16.0,,5958
1000015,P00166242,M,26-35,7,A,1,0,8,,,4209
1000016,P00217742,F,36-45,0,C,0,1,5,14.0,,8702
1000018,P00158542,F,18-25,3,B,3,0,5,6.0,13.0,5430
1000019,P00124842,M,0-17,10,A,3,0,11,,,4654
1000019,P00251642,M,0-17,10,A,3,0,1,2.0,4.0,4211
1000023,P00345842,M,36-45,0,B,3,1,2,8.0,14.0,16137
1000026,P00144242,M,26-35,7,B,2,1,5,14.0,,5220
1000026,P00289342,M,26-35,7,B,2,1,5,8.0,14.0,3702
1000027,P00266642,M,26-35,11,C,1,1,1,8.0,9.0,7730
1000028,P00178942,F,26-35,1,C,2,1,5,8.0,,8624
1000033,P00145442,M,46-50,3,A,1,1,8,15.0,,7888
1000033,P00154642,M,46-50,3,A,1,1,8,,,3897
1000035,P00129542,M,46-50,1,C,4+,1,8,14.0,,6153
1000036,P00127442,M,26-35,3,B,0,0,1,2.0,15.0,8066
1000036,P00115342,M,26-35,3,B,0,0,5,8.0,14.0,6922
1000036,P00110142,M,26-35,3,B,0,0,7,,,16280
1000041,P00251542,F,18-25,4,C,3,0,11,16.0,,6025
1000044,P00112142,M,46-50,17,B,3,1,1,2.0,14.0,19072
1000044,P00233542,M,46-50,17,B,3,1,1,15.0,,15853
1000045,P00066442,F,46-50,16,A,1,1,5,14.0,,6950
1000047,P00031042,M,18-25,4,C,4+,1,8,,,8043
1000048,P00114942,M,26-35,4,B,3,1,1,15.0,16.0,15783
1000048,P00015342,M,26-35,4,B,3,1,2,4.0,,6407
1000048,P00288042,M,26-35,4,B,3,1,8,,,7781
1000048,P00187842,M,26-35,4,B,3,1,1,16.0,,11430
1000048,P00324442,M,26-35,4,B,3,1,11,13.0,16.0,3101
1000052,P00000642,M,18-25,4,C,0,0,1,6.0,16.0,19060
1000053,P00130742,M,26-35,0,B,1,0,1,14.0,17.0,19251
1000053,P00127242,M,26-35,0,B,1,0,1,16.0,,15734
1000053,P00085442,M,26-35,0,B,1,0,12,14.0,,1752
1000053,P00109242,M,26-35,0,B,1,0,6,8.0,10.0,20529
1000053,P00288542,M,26-35,0,B,1,0,8,,,8000
1000053,P00302942,M,26-35,0,B,1,0,8,,,7796
1000058,P00151742,M,26-35,2,B,3,0,8,15.0,16.0,5851
1000059,P0096442,F,51-55,1,B,4+,1,4,5.0,12.0,2074
1000060,P00150542,M,51-55,1,C,1,1,5,,,2048
1000065,P00216142,M,36-45,12,C,2,1,1,16.0,,19409
1000065,P00104842,M,36-45,12,C,2,1,8,,,9889
1000065,P00177942,M,36-45,12,C,2,1,5,8.0,,7053
1000066,P00265242,M,26-35,18,C,2,0,5,8.0,,8652
1000073,P00199042,M,18-25,4,A,4+,0,1,5.0,,15624
1000074,P00350042,M,36-45,14,A,2,1,6,8.0,,12409
1000075,P00137642,F,0-17,10,C,4+,0,3,4.0,12.0,11000
1000077,P00260142,M,18-25,4,C,2,0,5,14.0,,5432
1000078,P00303242,F,46-50,1,C,0,1,5,8.0,,8598
1000080,P00157542,M,55+,1,C,3,1,8,14.0,,9788
1000084,P00034742,M,18-25,4,C,1,0,5,14.0,17.0,5315
1000090,P00223242,M,55+,13,C,1,0,5,14.0,,5354
1000090,P00248542,M,55+,13,C,1,0,8,16.0,,6078
1000092,P00274342,F,18-25,4,B,1,0,2,8.0,14.0,6434
1000093,P00070542,M,26-35,17,B,1,1,3,15.0,,13293
1000099,P00334242,F,0-17,10,C,1,0,1,8.0,,18982
1000101,P00278042,F,18-25,3,A,1,0,1,,,19464
1000102,P00229342,M,36-45,19,C,3,0,5,14.0,,2028
1000117,P00351342,M,26-35,17,A,2,1,1,2.0,16.0,8337
1000120,P00005042,M,26-35,11,C,0,0,6,16.0,,16128
1000123,P00113242,M,36-45,9,B,4+,1,1,6.0,8.0,19586
1000123,P00346942,M,36-45,9,B,4+,1,1,5.0,,8143
1000123,P00212542,M,36-45,9,B,4+,1,8,14.0,,4018
1000123,P00240242,M,36-45,9,B,4+,1,1,15.0,16.0,8130
1000125,P00182142,M,46-50,14,B,3,1,1,5.0,6.0,19064
1000126,P00121642,M,18-25,9,B,1,0,5,14.0,,3638
1000129,P00000642,M,26-35,11,C,2,0,1,6.0,16.0,15525
1000130,P00339542,M,36-45,17,B,3,1,1,,,19090
1000131,P00115442,M,18-25,4,C,4+,0,8,,,8075
1000131,P00209842,M,18-25,4,C,4+,0,5,8.0,,8734
1000133,P00248342,F,26-35,0,C,1,1,8,13.0,,7797
1000134,P00125942,M,26-35,0,C,3,1,1,2.0,15.0,15783
1000135,P00295942,M,18-25,4,C,1,1,2,5.0,15.0,16241
1000136,P00059442,M,18-25,2,B,3,0,6,8.0,16.0,16709
1000137,P00010742,F,46-50,6,C,4+,1,1,8.0,17.0,15334
1000138,P00135742,M,18-25,20,C,1,1,6,8.0,,19977
1000139,P00127842,F,26-35,20,C,2,0,1,2.0,15.0,15311
1000143,P00250242,M,18-25,3,C,0,0,5,,,7170
1000148,P00199442,M,51-55,17,B,3,1,5,9.0,,8812
1000148,P00193042,M,51-55,17,B,3,1,5,6.0,16.0,7114
1000149,P00289342,M,26-35,1,B,2,1,5,8.0,14.0,5267
1000149,P00293242,M,26-35,1,B,2,1,8,16.0,,6018
1000149,P00028542,M,26-35,1,B,2,1,6,8.0,14.0,16137
1000149,P00277942,M,26-35,1,B,2,1,1,,,15210
1000150,P00113342,M,36-45,7,B,0,1,1,8.0,17.0,15590
1000151,P00141842,F,26-35,20,A,1,1,5,14.0,,7179
1000151,P00358742,F,26-35,20,A,1,1,5,,,6894
1000152,P00159942,M,18-25,4,A,3,0,5,,,8744
1000157,P00140042,M,36-45,16,A,1,0,1,16.0,,15544
1000157,P00065342,M,36-45,16,A,1,0,2,15.0,,6368
1000161,P00086042,M,46-50,16,C,4+,1,8,14.0,17.0,8108
1000161,P00024042,M,46-50,16,C,4+,1,7,,,20915
1000163,P00309142,M,18-25,4,A,1,0,1,16.0,,8305
